
 ,30 39, 















 ,40 47, 
 ,33 43 43 33 33 53 53 33 33 58 43 43 43 43 43 53 53 43 43 58 58 43 53 43 43 53 53 53 53 53 53 58 58 53, 
39 43, , 









 , ,90 88 88 90 90 102 102 90 90 58 58 90 90 66 66 90 90 12 12 90 90 78 78 90 88 88 88 88 88 102 102 88 88 58 58 88 88 66 66 88 88 12 12 88 88 78 78 88 102 88 88 102 102 102 102 102 102 58 58 102 102 66 66 102 102 12 12 102 102 78 78 102 58 88 88 58 58 102 102 58 58 58 58 58 58 66 58 12 12 58 58 78 78 58 66 88 88 66 66 102 102 66 58 66 66 66 66 66 66 12 12 66 66 78 78 66 12 88 88 12 12 102 102 12 12 58 58 12 12 66 66 12 12 12 12 12 12 78 78 12
 , ,5 0

 ,64 60 60 71 71 60 60 20 20 60 60 27 27 60 64 64 64 64 64 71 71 64 64 20 20 64 64 27 27 64 71 64 64 71 71 71 71 71 71 20 20 71 71 27 27 71 20 64 64 20 20 71 71 20 20 20 20 20 20 27 27 20,38 80 80 38


80 91 91 80 80 93 93 80 80 94 94 80 91 91 91 91 91 93 91 94 91 93 93 93 93 93 93 94 94 93,6 8 8 6 6 68 68 6 8 8 8 8 8 68 68 8, 



 ,42 48,32 10 10 32
 ,45 61 45 65 45 75 45 79 61 61 61 61 61 65 65 61 61 75 75 61 61 79 79 61 65 61 61 65 65 65 65 65 65 75 75 65 65 79 79 65 75 61 61 75 75 65 65 75 75 75 75 75 75 79 79 75,51 55 55 51 51 72 72 51 55 55 55 55 55 72 72 55

70 79 79 70, ,59 58 58 59

 ,51 60 60 51 51 24 24 51 60 60 60 60 60 24 24 60,40 10 10 40







 ,74 30 30 74 74 64 64 74 30 30 30 30 30 64 64 30, 














 , ,13 15 15 13 52 13 15 15 15 15 52 15





 , ,40 57 57 40 40 23 23 40 57 57 57 57 57 23 23 57














 ,40 12 12 40 40 42 40 64 64 40 12 12 12 12 12 42 42 12 12 64 64 12 42 12 12 42 42 42 42 42 42 64 64 42,73 28 28 73
















 , ,52 94 94 52 52 6 6 52 52 68 68 52 52 74 74 52 52 24 24 52 52 38 38 52 94 94 94 94 94 6 6 94 94 68 68 94 94 74 74 94 94 24 24 94 94 38 38 94 6 94 94 6 6 6 6 6 6 68 68 6 6 74 74 6 6 24 24 6 6 38 38 6 68 94 94 68 68 6 6 68 68 68 68 68 68 74 74 68 68 24 24 68 68 38 38 68 74 94 94 74 74 6 6 74 74 68 68 74 74 74 74 74 74 24 24 74 74 38 38 74 24 94 94 24 24 6 6 24 24 68 68 24 24 74 74 24 24 24 24 24 24 38 38 24
